Frame,ROI_1_x,ROI_1_y,ROI_1_w,ROI_1_h,ROI_2_x,ROI_2_y,ROI_2_w,ROI_2_h,ROI_3_x,ROI_3_y,ROI_3_w,ROI_3_h,ROI_4_x,ROI_4_y,ROI_4_w,ROI_4_h
0,323,369,135,101,731,428,140,110,139,204,111,100,284,108,130,139
1,320,370,135,101,729,424,140,110,140,202,111,100,286,105,130,139
2,323,367,135,101,729,426,140,110,141,202,111,100,286,106,130,139
3,322,366,135,101,729,422,140,110,140,202,111,100,288,107,130,139
4,321,367,135,101,729,418,140,110,143,204,111,100,284,110,130,139
5,328,366,135,101,733,418,140,110,140,202,111,100,282,113,130,139
6,331,359,135,101,733,418,140,110,143,204,111,100,282,110,130,139
7,330,364,135,101,733,418,140,110,142,202,111,100,286,111,130,139
8,331,363,135,101,729,418,140,110,139,202,111,100,288,112,130,139
9,330,370,135,101,735,420,140,110,140,204,111,100,284,115,130,139
10,327,371,135,101,733,422,140,110,139,204,111,100,288,112,130,139
11,324,378,135,101,725,424,140,110,140,202,111,100,288,117,130,139
12,321,379,135,101,723,416,140,110,141,202,111,100,286,118,130,139
13,322,382,135,101,729,414,140,110,140,198,111,100,286,115,130,139
14,327,377,135,101,727,416,140,110,141,200,111,100,288,114,130,139
15,318,376,135,101,727,412,140,110,140,198,111,100,286,117,130,139
16,311,373,135,101,727,414,140,110,141,200,111,100,286,118,130,139
17,312,372,135,101,731,416,140,110,140,200,111,100,286,123,130,139
18,313,373,135,101,731,414,140,110,141,202,111,100,284,120,130,139
19,312,376,135,101,733,416,140,110,138,202,111,100,282,123,130,139
20,311,373,135,101,731,420,140,110,139,204,111,100,284,122,130,139
21,314,366,135,101,733,422,140,110,138,206,111,100,284,121,130,139
22,311,371,135,101,729,420,140,110,139,202,111,100,286,120,130,139
23,322,380,135,101,731,422,140,110,134,206,111,100,282,119,130,139
24,323,375,135,101,727,422,140,110,127,206,111,100,290,114,130,139
25,320,376,135,101,727,426,140,110,130,206,111,100,294,121,130,139
26,319,375,135,101,735,424,140,110,133,204,111,100,292,120,130,139
27,308,378,135,101,735,424,140,110,132,204,111,100,290,117,130,139
28,301,379,135,101,733,426,140,110,133,202,111,100,290,120,130,139
29,312,372,135,101,737,424,140,110,136,202,111,100,294,117,130,139
30,311,375,135,101,735,422,140,110,141,210,111,100,292,116,130,139
31,314,380,135,101,739,424,140,110,138,210,111,100,286,107,130,139
32,309,377,135,101,739,422,140,110,139,212,111,100,298,106,130,139
33,308,374,135,101,735,418,140,110,134,208,111,100,294,101,130,139
34,315,381,135,101,735,420,140,110,133,208,111,100,284,102,130,139
35,318,378,135,101,737,418,140,110,132,212,111,100,276,99,130,139
36,319,373,135,101,733,418,140,110,137,212,111,100,280,94,130,139
37,314,370,135,101,731,416,140,110,134,212,111,100,286,97,130,139
38,311,367,135,101,727,426,140,110,133,216,111,100,288,96,130,139
39,308,362,135,101,727,424,140,110,134,212,111,100,290,101,130,139
40,307,375,135,101,727,428,140,110,133,208,111,100,294,100,130,139
41,314,386,135,101,731,430,140,110,130,208,111,100,294,103,130,139
42,321,375,135,101,723,430,140,110,133,204,111,100,296,104,130,139
43,324,368,135,101,731,426,140,110,134,208,111,100,290,109,130,139
44,329,365,135,101,729,430,140,110,137,208,111,100,292,110,130,139
45,324,368,135,101,729,430,140,110,140,212,111,100,292,113,130,139
46,317,361,135,101,731,434,140,110,141,212,111,100,290,112,130,139
47,316,372,135,101,729,436,140,110,142,214,111,100,286,113,130,139
48,311,377,135,101,731,432,140,110,145,218,111,100,278,108,130,139
49,306,376,135,101,727,430,140,110,150,228,111,100,280,117,130,139
50,305,373,135,101,733,430,140,110,149,232,111,100,280,114,130,139
51,304,376,135,101,733,422,140,110,146,230,111,100,274,109,130,139
52,295,369,135,101,725,420,140,110,153,224,111,100,276,110,130,139
53,298,370,135,101,729,420,140,110,156,218,111,100,274,113,130,139
54,287,377,135,101,729,422,140,110,167,212,111,100,284,108,130,139
55,292,368,135,101,729,420,140,110,168,208,111,100,278,97,130,139
56,291,365,135,101,727,422,140,110,169,212,111,100,274,92,130,139
57,292,372,135,101,725,418,140,110,168,214,111,100,280,95,130,139
58,301,375,135,101,721,418,140,110,171,216,111,100,274,98,130,139
59,298,384,135,101,723,420,140,110,172,212,111,100,280,111,130,139
